Name,Symbol,Price,Market cap,24h change
Across Protocol Token,ACX,1.00,$ 428.26M,-36.12%
Kusama,KSM,46.23,$ 415.1M,+3.12%
SafePal,SFP,0.828,$ 414.19M,+1.47%
PayPal USD,PYUSD,0.998,$ 412.41M,-0.01%
Biconomy,BICO,0.453,$ 411.34M,+3.56%
Golem,GLM,0.518,$ 409.92M,+2.36%
QUBIC,QUBIC,0.0₅401,$ 409.28M,-0.98%
ConstitutionDAO,PEOPLE,0.0786,$ 398.12M,+9.29%
Radix,XRD,0.0372,$ 395.44M,+1.32%
Clearpool,CPOOL,0.404,$ 394.76M,+9.11%
Frax Share,FXS,4.65,$ 393.74M,-0.09%
Loopring,LRC,0.312,$ 392.4M,+1.22%
Olympus v2,OHM,21.16,$ 391.93M,+5.74%
Bonfida,FIDA,0.396,$ 391.95M,+0.86%
Dymension,DYM,2.66,$ 388.24M,+3.15%
ssv.network,SSV,33.60,$ 378.78M,+2.59%
Apu Apustaja,APU,0.000923,$ 377.35M,+7.66%
Arkham,ARKM,2.48,$ 371.62M,-1.01%
MX Token,MX,3.82,$ 369.74M,+2.08%
Decred,DCR,22.42,$ 369.44M,-0.77%
Alchemy Pay,ACH,0.0368,$ 368.2M,+1.08%
Power Ledger,POWR,0.368,$ 367.22M,+8.96%
XYO Network,XYO,0.0262,$ 365.54M,-3.41%
Liechtenstein Cryptoassets Exchange,LCX,0.39,$ 364.41M,+11.33%
API3,API3,2.52,$ 364.4M,+2.42%
Rocket Pool,RPL,17.38,$ 363.46M,+3.08%
Moonbeam,GLMR,0.384,$ 354.93M,+5.85%
IO,IO,3.71,$ 352.84M,+6.50%
Non-Playable Coin,NPC,0.0413,$ 344.27M,+19.17%
KarratCoin,KARRAT,0.618,$ 344.33M,-1.39%
ether.fi governance token,ETHFI,2.99,$ 344.09M,+9.61%
Flux,FLUX,0.916,$ 343.81M,+8.00%
Polymesh,POLYX,0.402,$ 336.56M,+2.45%
Orca,ORCA,6.29,$ 336.15M,-27.25%
Mask Network,MASK,4.28,$ 335.62M,+5.04%
Name,Symbol,Price,Market cap,24h change
VeThor Token,VTHO,0.00401,$ 335.19M,+1.51%
PAAL AI,$PAAL,0.386,$ 332.19M,+6.15%
Gnosis,GNO,299.32,$ 330.66M,+4.53%
Instadapp,INST,8.12,$ 329.55M,+7.73%
Hivemapper,HONEY,0.109,$ 326.91M,-3.65%
BLAST,BLAST,0.0142,$ 326.54M,+3.58%
